station,valid,metar
RPLL,2025-01-01 00:00,RPLL 010000Z 21002KT 5000 HZ FEW025 BKN100 27/25 Q1011 NOSIG RMK A2985 HZ ALQDS
RPLL,2025-01-01 01:00,RPLL 010100Z 28004KT 240V320 6000 SCT025 BKN100 28/26 Q1012 NOSIG RMK A2988
RPLL,2025-01-01 02:00,RPLL 010200Z 27004KT 6000 -RA SCT025 BKN100 28/25 Q1011 NOSIG RMK A2985
RPLL,2025-01-01 03:00,RPLL 010300Z 26003KT 230V300 6000 -RA SCT023 OVC090 27/25 Q1011 NOSIG RMK A2985
RPLL,2025-01-01 04:00,RPLL 010400Z VRB02KT 6000 SCT023 OVC100 28/25 Q1010 NOSIG RMK A2983
RPLL,2025-01-01 05:00,RPLL 010500Z VRB03KT 6000 SCT023 BKN100 30/24 Q1010 NOSIG RMK A2983
RPLL,2025-01-01 06:00,RPLL 010600Z 11006KT 070V160 9000 SCT025 BKN100 31/25 Q1009 NOSIG RMK A2980
RPLL,2025-01-01 07:00,COR RPLL 010700Z 12006KT 070V170 9999 SCT025 BKN100 30/24 Q1008 NOSIG RMK A2977
RPLL,2025-01-01 08:00,RPLL 010800Z 12008KT 080V160 9999 SCT025 BKN100 29/24 Q1008 NOSIG RMK A2977
RPLL,2025-01-01 09:00,RPLL 010900Z 12007KT 080V150 9999 SCT025 BKN100 29/24 Q1009 NOSIG RMK A2980
RPLL,2025-01-01 10:00,RPLL 011000Z 12006KT 070V150 9999 SCT025 BKN100 28/24 Q1010 NOSIG RMK A2983
RPLL,2025-01-01 11:00,RPLL 011100Z 13006KT 090V170 9999 SCT025 BKN100 28/24 Q1010 NOSIG RMK A2983
RPLL,2025-01-01 12:00,RPLL 011200Z 13006KT 090V170 9999 SCT025 BKN100 27/24 Q1010 NOSIG RMK A2983
RPLL,2025-01-01 13:00,RPLL 011300Z 11005KT 080V160 9999 SCT025 BKN100 27/24 Q1011 NOSIG RMK A2985
RPLL,2025-01-01 14:00,RPLL 011400Z 11005KT 070V150 9999 SCT025 BKN100 27/23 Q1011 NOSIG RMK A2985
RPLL,2025-01-01 15:00,RPLL 011500Z 12006KT 070V150 9999 SCT025 BKN100 27/24 Q1011 NOSIG RMK A2985
RPLL,2025-01-01 16:00,RPLL 011600Z 12004KT 090V160 9999 FEW025 SCT150 27/23 Q1011 NOSIG RMK A2985
RPLL,2025-01-01 17:00,RPLL 011700Z 07003KT 9999 FEW025 SCT150 26/24 Q1010 NOSIG RMK A2983
RPLL,2025-01-01 18:00,RPLL 011800Z 09003KT 9999 FEW025 26/24 Q1010 NOSIG RMK A2983
RPLL,2025-01-01 19:00,RPLL 011900Z VRB01KT 9999 FEW025 BKN130 26/23 Q1009 NOSIG RMK A2980
RPLL,2025-01-01 20:00,RPLL 012000Z VRB01KT 9999 FEW025 BKN150 26/24 Q1010 NOSIG RMK A2983
RPLL,2025-01-01 21:00,RPLL 012100Z 21002KT 9999 FEW025 BKN150 26/24 Q1009 NOSIG RMK A2980
RPLL,2025-01-01 22:00,RPLL 012200Z VRB02KT 9999 FEW025 BKN130 26/24 Q1010 NOSIG RMK A2983
RPLL,2025-01-01 23:00,RPLL 012300Z 16002KT 9999 FEW025 BKN100 26/25 Q1010 NOSIG RMK A2983
RPLL,2025-01-02 00:00,RPLL 020000Z VRB01KT 9999 FEW023 BKN100 28/25 Q1011 NOSIG RMK A2985
RPLL,2025-01-02 01:00,RPLL 020100Z VRB02KT 9999 FEW025 BKN100 29/25 Q1011 NOSIG RMK A2985
RPLL,2025-01-02 02:00,RPLL 020200Z VRB03KT 9999 FEW025 BKN100 30/24 Q1011 NOSIG RMK A2985
RPLL,2025-01-02 03:00,RPLL 020300Z VRB04KT 9999 FEW025 BKN100 30/24 Q1011 NOSIG RMK A2985
RPLL,2025-01-02 04:00,RPLL 020400Z VRB04KT 9999 FEW025 BKN100 32/25 Q1010 NOSIG RMK A2983
RPLL,2025-01-02 05:00,RPLL 020500Z 11006KT 080V140 9999 FEW025 BKN100 32/24 Q1009 NOSIG RMK A2980
RPLL,2025-01-02 06:00,RPLL 020600Z 15005KT 090V230 9999 FEW025 33/24 Q1008 NOSIG RMK A2977
RPLL,2025-01-02 07:00,RPLL 020700Z VRB05KT 9999 SCT025 BKN100 32/23 Q1008 NOSIG RMK A2977
RPLL,2025-01-02 08:00,RPLL 020800Z 14004KT 090V220 9999 FEW023TCU SCT025 31/24 Q1007 NOSIG RMK A2974 TCU N
RPLL,2025-01-02 09:00,RPLL 020900Z VRB05KT 9999 FEW023TCU SCT025 BKN100 30/24 Q1008 NOSIG RMK A2977 TCU N
RPLL,2025-01-02 10:00,RPLL 021000Z 13004KT 060V180 9999 SCT025 BKN100 29/25 Q1008 NOSIG RMK A2977
RPLL,2025-01-02 11:00,RPLL 021100Z 13004KT 090V180 9999 SCT025 BKN100 29/24 Q1009 NOSIG RMK A2980
RPLL,2025-01-02 12:00,RPLL 021200Z 14005KT 090V180 9999 SCT025 BKN100 28/24 Q1010 NOSIG RMK A2983
RPLL,2025-01-02 13:00,RPLL 021300Z 15004KT 100V200 9999 SCT025 BKN100 28/24 Q1010 NOSIG RMK A2983
RPLL,2025-01-02 14:00,RPLL 021400Z 14005KT 090V180 9999 SCT025 BKN100 28/24 Q1011 NOSIG RMK A2985
RPLL,2025-01-02 15:00,RPLL 021500Z 13005KT 090V170 9999 SCT025 BKN100 28/24 Q1010 NOSIG RMK A2983
RPLL,2025-01-02 16:00,RPLL 021600Z 13003KT 090V160 9999 SCT025 BKN100 28/24 Q1010 NOSIG RMK A2983
RPLL,2025-01-02 17:00,RPLL 021700Z VRB02KT 9999 SCT023 BKN100 27/24 Q1010 NOSIG RMK A2983
RPLL,2025-01-02 18:00,RPLL 021800Z VRB02KT 9999 SCT023 OVC100 27/25 Q1010 NOSIG RMK A2983
RPLL,2025-01-02 19:00,RPLL 021900Z 17004KT 120V220 9999 SCT023 BKN100 27/24 Q1009 NOSIG RMK A2980
RPLL,2025-01-02 20:00,RPLL 022000Z 14004KT 100V200 9999 SCT025 OVC100 26/24 Q1009 NOSIG RMK A2980
RPLL,2025-01-02 21:00,RPLL 022100Z 10005KT 060V160 9999 -RA SCT023 OVC090 26/24 Q1009 NOSIG RMK A2980
RPLL,2025-01-02 22:00,RPLL 022200Z 09005KT 060V120 9999 SCT025 BKN100 26/24 Q1010 NOSIG RMK A2983
RPLL,2025-01-02 23:00,RPLL 022300Z VRB02KT 9999 SCT023 BKN100 26/24 Q1010 NOSIG RMK A2983
RPLL,2025-01-03 00:00,RPLL 030000Z VRB02KT 9999 SCT025 BKN100 26/25 Q1011 NOSIG RMK A2985
RPLL,2025-01-03 01:00,COR RPLL 030100Z 14004KT 080V190 9999 SCT025 BKN100 27/25 Q1011 NOSIG RMK A2985
RPLL,2025-01-03 02:00,RPLL 030200Z 15003KT 070V240 9999 FEW025 BKN100 28/24 Q1011 NOSIG RMK A2985
RPLL,2025-01-03 03:00,RPLL 030300Z VRB03KT 9999 FEW025 BKN100 30/24 Q1011 NOSIG RMK A2985
RPLL,2025-01-03 04:00,RPLL 030400Z 11005KT 040V210 9999 FEW025 BKN100 30/24 Q1010 NOSIG RMK A2983
RPLL,2025-01-03 05:00,RPLL 030500Z VRB05KT 9999 FEW025 BKN100 30/24 Q1009 NOSIG RMK A2980
RPLL,2025-01-03 06:00,RPLL 030600Z VRB04KT 9999 FEW025 BKN100 31/24 Q1008 NOSIG RMK A2977
RPLL,2025-01-03 07:00,RPLL 030700Z VRB03KT 9999 FEW025 BKN100 31/23 Q1007 NOSIG RMK A2974
RPLL,2025-01-03 08:00,RPLL 030800Z 13003KT 080V190 9999 SCT025 BKN100 31/24 Q1007 NOSIG RMK A2974
RPLL,2025-01-03 09:00,RPLL 030900Z 23003KT 180V280 9999 SCT025 BKN100 30/25 Q1008 NOSIG RMK A2977
RPLL,2025-01-03 10:00,RPLL 031000Z VRB01KT 9999 FEW025 SCT100 29/25 Q1008 NOSIG RMK A2977
RPLL,2025-01-03 11:00,COR RPLL 031100Z 12003KT 090V150 9999 FEW025 29/25 Q1009 NOSIG RMK A2980
RPLL,2025-01-03 12:00,RPLL 031200Z VRB02KT 9999 FEW025 BKN100 28/25 Q1010 NOSIG RMK A2983
RPLL,2025-01-03 13:00,COR RPLL 031300Z 15003KT 090V190 9999 FEW025 28/25 Q1010 NOSIG RMK A2983
RPLL,2025-01-03 14:00,RPLL 031400Z 33005KT 250V010 9999 FEW023CB SCT025 BKN100 28/25 Q1011 TEMPO -TSRA RMK A29CB LTG OCNL NW-N
RPLL,2025-01-03 14:10,RPLL 031410Z 02007KT 340V070 9000 -SHRA FEW022CB SCT023 OVC090 27/24 Q1011 NOSIG RMK A2985 CB LTG NW-N
RPLL,2025-01-03 15:00,RPLL 031500Z 01005KT 310V060 9000 FEW023CB SCT025 BKN100 28/25 Q1011 NOSIG RMK A2985 CB/OCNL LTG SE S SW
RPLL,2025-01-03 16:00,RPLL 031600Z VRB02KT 9000 -SHRA FEW023CB SCT025 OVC100 26/25 Q1011 TEMPO -TSRA RMK A2985 CB/OCNL LTG S-W
RPLL,2025-01-03 16:21,COR RPLL 031621Z VRB02KT 7000 SHRA FEW022CB SCT023 OVC090 26/25 Q1011 TEMPO -TSRA RMK A2985 CB/OCNL LTG E
RPLL,2025-01-03 17:00,RPLL 031700Z VRB02KT 9000 -SHRA FEW022CB SCT023 OVC090 25/25 Q1010 NOSIG RMK A2983 CB/OCNL LTG E
RPLL,2025-01-03 18:00,RPLL 031800Z VRB02KT 9999 SCT023 OVC100 25/25 Q1010 NOSIG RMK A2983
RPLL,2025-01-03 19:00,RPLL 031900Z VRB02KT 9999 FEW025 OVC100 26/25 Q1009 NOSIG RMK A2980
RPLL,2025-01-03 20:00,RPLL 032000Z VRB02KT 9999 FEW025 OVC130 26/25 Q1009 NOSIG RMK A2980
RPLL,2025-01-03 21:00,RPLL 032100Z 00000KT 9999 FEW025 BKN100 26/25 Q1009 NOSIG RMK A2980
RPLL,2025-01-03 22:00,RPLL 032200Z 00000KT 9999 FEW023 BKN100 26/25 Q1010 NOSIG RMK A2983
RPLL,2025-01-03 23:00,RPLL 032300Z 00000KT 9999 SCT023 BKN100 26/25 Q1010 NOSIG RMK A2983
RPLL,2025-01-04 00:00,RPLL 040000Z 04003KT 280V090 9000 SCT023 BKN100 27/25 Q1011 NOSIG RMK A2985
RPLL,2025-01-04 01:00,RPLL 040100Z VRB02KT 9000 FEW025 BKN100 29/25 Q1011 NOSIG RMK A2985
RPLL,2025-01-04 02:00,RPLL 040200Z 16003KT 9000 SCT023 BKN100 28/25 Q1011 NOSIG RMK A2985
RPLL,2025-01-04 03:00,RPLL 040300Z VRB03KT 9000 FEW025 SCT100 29/24 Q1011 NOSIG RMK A2985
RPLL,2025-01-04 04:00,RPLL 040400Z 11003KT 040V200 9999 SCT023 BKN100 30/24 Q1010 NOSIG RMK A2983
RPLL,2025-01-04 05:00,RPLL 040500Z 16005KT 080V250 9999 SCT025 BKN100 31/22 Q1009 NOSIG RMK A2980
RPLL,2025-01-04 06:00,RPLL 040600Z 13006KT 080V190 9999 FEW025 SCT100 31/23 Q1009 NOSIG RMK A2980
RPLL,2025-01-04 07:00,RPLL 040700Z 11006KT 050V160 9999 FEW025 BKN100 31/22 Q1008 NOSIG RMK A2977
RPLL,2025-01-04 08:00,RPLL 040800Z 13006KT 090V170 9999 FEW025 SCT100 31/22 Q1008 NOSIG RMK A2977
RPLL,2025-01-04 09:00,RPLL 040900Z 13005KT 080V190 9999 FEW025 BKN100 31/23 Q1008 NOSIG RMK A2977
RPLL,2025-01-04 10:00,RPLL 041000Z VRB02KT 9999 FEW025 BKN100 29/22 Q1009 NOSIG RMK A2980
RPLL,2025-01-04 11:00,RPLL 041100Z 10006KT 9999 FEW025 BKN100 29/21 Q1010 NOSIG RMK A2983
RPLL,2025-01-04 12:00,RPLL 041200Z 13006KT 070V180 9999 FEW025 28/22 Q1011 NOSIG RMK A2985
RPLL,2025-01-04 13:00,RPLL 041300Z VRB05KT 9999 FEW025 28/22 Q1012 NOSIG RMK A2988
RPLL,2025-01-04 14:00,RPLL 041400Z 11003KT 080V140 9999 FEW025 27/20 Q1012 NOSIG RMK A2988
RPLL,2025-01-04 15:00,RPLL 041500Z VRB02KT 9999 FEW025 27/20 Q1012 NOSIG RMK A2988
RPLL,2025-01-04 16:00,RPLL 041600Z 32003KT 270V040 9999 SCT025 27/20 Q1011 NOSIG RMK A2985
